sign,site,n_words,init_obs,init_p,init_sig,final_obs,final_p,final_sig
KI,Tylissos,21,1,0.88112,0,2,0.54545,0
KI,Zakros,132,3,0.77522,0,5,0.32867,0
KU,Arkhalkhori,34,1,0.4995,0,0,1.0,0
KU,Haghia Triada,694,74,0.001,1,6,1.0,0
KU,Iouktas,34,0,1.0,0,0,1.0,0
KU,Khania,120,4,0.08292,0,0,1.0,0
KU,Knossos,61,0,1.0,0,2,0.13387,0
KU,Palaikastro,57,0,1.0,0,0,1.0,0
KU,Phaistos,58,2,0.16084,0,0,1.0,0
KU,Syme,21,0,1.0,0,1,0.24376,0
KU,Tylissos,21,0,1.0,0,0,1.0,0
KU,Zakros,132,7,0.30769,0,2,0.99101,0
MA,Arkhalkhori,34,0,1.0,0,0,1.0,0
MA,Haghia Triada,694,19,0.46653,0,14,0.91708,0
MA,Iouktas,34,1,0.71029,0,2,0.23976,0
MA,Khania,120,1,0.62737,0,1,0.66234,0
MA,Knossos,61,1,0.61638,0,2,0.16084,0
MA,Palaikastro,57,3,0.04196,1,0,1.0,0
MA,Phaistos,58,3,0.52747,0,3,0.53646,0
MA,Syme,21,0,1.0,0,0,1.0,0
MA,Tylissos,21,1,0.31169,0,0,1.0,0
MA,Zakros,132,5,0.73726,0,4,0.87512,0
ME,Arkhalkhori,34,0,1.0,0,0,1.0,0
ME,Haghia Triada,694,2,0.995,0,10,0.04096,1
ME,Iouktas,34,0,1.0,0,5,0.001,1
ME,Khania,120,0,1.0,0,1,0.50749,0
ME,Knossos,61,0,1.0,0,1,0.22977,0
ME,Palaikastro,57,0,1.0,0,4,0.05095,0
ME,Phaistos,58,0,1.0,0,0,1.0,0
ME,Syme,21,0,1.0,0,0,1.0,0
ME,Tylissos,21,0,1.0,0,0,1.0,0
ME,Zakros,132,3,0.17782,0,0,1.0,0
MI,Arkhalkhori,34,2,0.73626,0,3,0.43057,0
MI,Haghia Triada,694,14,0.32068,0,11,0.74226,0
MI,Iouktas,34,0,1.0,0,0,1.0,0
MI,Khania,120,1,0.95604,0,4,0.14785,0
MI,Knossos,61,0,1.0,0,2,0.44156,0
MI,Palaikastro,57,1,0.81019,0,1,0.81319,0
MI,Phaistos,58,0,1.0,0,1,0.72228,0
MI,Syme,21,1,0.66633,0,1,0.69231,0
MI,Tylissos,21,0,1.0,0,0,1.0,0
MI,Zakros,132,2,0.98102,0,7,0.26673,0
NA,Arkhalkhori,34,0,1.0,0,1,0.44356,0
NA,Haghia Triada,694,5,1.0,0,30,0.002,1
NA,Iouktas,34,0,1.0,0,0,1.0,0
NA,Khania,120,1,0.995,0,4,0.62937,0
NA,Knossos,61,1,0.94006,0,2,0.71429,0
NA,Palaikastro,57,0,1.0,0,3,0.6044,0
NA,Phaistos,58,0,1.0,0,2,0.38162,0
NA,Syme,21,0,1.0,0,0,1.0,0
NA,Tylissos,21,0,1.0,0,0,1.0,0
NA,Zakros,132,0,1.0,0,6,0.01099,1
NE,Arkhalkhori,34,0,1.0,0,2,0.24276,0
NE,Haghia Triada,694,1,0.999,0,19,0.001,1
NE,Iouktas,34,0,1.0,0,0,1.0,0
NE,Khania,120,0,1.0,0,4,0.01299,1
NE,Knossos,61,0,1.0,0,2,0.12787,0
NE,Palaikastro,57,1,0.81918,0,2,0.38062,0
NE,Phaistos,58,1,0.63836,0,1,0.61738,0
NE,Syme,21,0,1.0,0,0,1.0,0
NE,Tylissos,21,1,0.51349,0,0,1.0,0
NE,Zakros,132,0,1.0,0,1,0.44356,0
NI,Arkhalkhori,34,1,0.58042,0,0,1.0,0
NI,Haghia Triada,694,1,1.0,0,19,0.00899,1
NI,Iouktas,34,0,1.0,0,0,1.0,0
NI,Khania,120,0,1.0,0,1,0.65834,0
NI,Knossos,61,2,0.28072,0,0,1.0,0
NI,Palaikastro,57,1,0.60839,0,0,1.0,0
NI,Phaistos,58,0,1.0,0,1,0.61938,0
NI,Syme,21,0,1.0,0,0,1.0,0
NI,Tylissos,21,0,1.0,0,0,1.0,0
NI,Zakros,132,0,1.0,0,0,1.0,0
NU,Arkhalkhori,34,0,1.0,0,2,0.12088,0
NU,Haghia Triada,694,4,0.99001,0,10,0.43656,0
NU,Iouktas,34,0,1.0,0,3,0.00899,1
NU,Khania,120,0,1.0,0,1,0.8032,0
NU,Knossos,61,1,0.82717,0,1,0.83317,0
NU,Palaikastro,57,1,0.34865,0,0,1.0,0
NU,Phaistos,58,0,1.0,0,1,0.34765,0
NU,Syme,21,0,1.0,0,0,1.0,0
NU,Tylissos,21,0,1.0,0,0,1.0,0
NU,Zakros,132,1,0.87912,0,0,1.0,0
PA,Arkhalkhori,34,0,1.0,0,1,0.52248,0
PA,Haghia Triada,694,27,0.00999,1,14,0.93806,0
PA,Iouktas,34,0,1.0,0,1,0.32268,0
PA,Khania,120,4,0.29371,0,1,0.98102,0
PA,Knossos,61,0,1.0,0,1,0.76424,0
PA,Palaikastro,57,0,1.0,0,1,0.78621,0
PA,Phaistos,58,2,0.36364,0,0,1.0,0
PA,Syme,21,0,1.0,0,0,1.0,0
