source_file,doc_id,locus,context_word,logogram,integer,fraction_seq,uncertain,restored,damaged,anomaly,is_kuro
HTtexts,HT 129.1,b.4,TU,,6,,0,1,0,0,0
HTtexts,HT 13,.2,RE-ZA,,5,J,0,1,0,0,0
HTtexts,HT 13,.3,TE-TU,,56,,0,0,0,0,0
HTtexts,HT 13,.3-4,TE-KI,,27,J,0,0,0,0,0
HTtexts,HT 13,.4,KU-ZU-NI,,18,,0,0,0,0,0
HTtexts,HT 13,.5,DA-SI-*118,,19,,0,0,0,0,0
HTtexts,HT 13,.5-6,I-DU-NE-SI,,5,,0,0,0,0,0
HTtexts,HT 13,.7,KU-RO,,130,J,0,0,0,0,1
HTtexts,HT 130,.1,SI,,3,,0,1,0,0,0
HTtexts,HT 130,.5,SI *303,,8,,0,0,0,0,0
HTtexts,HT 130,.5-6,FIC,,6,,0,0,0,0,0
HTtexts,HT 130,.6,VINa,,3,,0,0,0,0,0
HTtexts,HT 131,a.1,FIC,,62,,0,1,0,0,0
HTtexts,HT 131,a.2,,,353,,0,1,0,0,0
HTtexts,HT 131,a.2-3,I-QA-*118,GRA,58,,0,1,0,0,0
HTtexts,HT 131,a.4,OLE,,12,J,0,1,0,0,0
HTtexts,HT 131,a.4,*304,,12,JE,0,0,0,0,0
HTtexts,HT 131,b.2,FIC,,30,,0,1,0,0,0
HTtexts,HT 131,b.2,OLIV,,2,,0,1,0,0,0
HTtexts,HT 131,b.4,PO-TO-KU-RO,,452,J,0,1,0,0,1
misctexts,HT 131a.2-3),.1,A-DU-•-ZA,*303,,K,0,1,0,0,0
misctexts,HT 131a.2-3),.2,SU,,3,,0,0,0,0,0
misctexts,HT 131a.2-3),.3,*306,,4,,0,0,0,0,0
misctexts,HT 131a.2-3),.3,*303,,,B,0,0,0,0,0
misctexts,HT 131a.2-3),.4-5,A-TO-*349-TO-I,*303+E *626,3,,0,0,0,0,0
misctexts,HT 131a.2-3),.5,FIC,,1,,0,0,0,0,0
misctexts,HT 131a.2-3),.5,VINa,,3,,0,0,0,0,0
misctexts,HT 131a.2-3),.5-6,A-TE-*350,*301,1,,0,0,0,0,0
HTtexts,HT 132,.1,A-SE,*319,5,,0,0,0,0,0
HTtexts,HT 132,.1-2,QA-RE-TO,OVISf,27,,0,0,0,0,0
HTtexts,HT 132,.2,PA3 *305,,1,,0,1,0,0,0
HTtexts,HT 134+128,a.1,NE-MI-NA,,10,,0,1,0,0,0
HTtexts,HT 134+128,a.3,,,1,,0,1,0,0,0
HTtexts,HT 134+128,a.4,MI,,2,,0,1,0,0,0
HTtexts,HT 134+128,b.2,,,2,,0,0,0,0,0
HTtexts,HT 136,a.2,OVISf,,30,,0,1,0,0,0
HTtexts,HT 136,a.3,,,23,,0,1,0,0,0
HTtexts,HT 136,b.1,,,24,,0,1,0,0,0
HTtexts,HT 137+138,.2,TA2,GRA,3,,0,1,0,0,0
HTtexts,HT 137+138,.2,OLE+MI *622,,6,,0,1,0,0,0
HTtexts,HT 137+138,.2,OLE,,2,,0,1,0,0,0
HTtexts,HT 138+137,.2,GRA,,1,,0,1,0,0,0
HTtexts,HT 138+137,.2,OLE,,,J,0,0,0,0,0
HTtexts,HT 14,.1-2,PU-VINa,TE GRA OLE+MI *622 OLE+DI *608 *304 OLIV,3033913,,0,0,0,0,0
HTtexts,HT 14,.3-5,A-PU2-NA-DU,GRA OLE+MI *622 OLE+DI *608 *304 OLIV,4554614,,0,0,0,0,0
HTtexts,HT 140+132+145,.1,*86-SI-NI,,1,,0,1,0,0,0
HTtexts,HT 140+132+145,.1-2,JE-DI,OLE+KI *618,1,J,0,0,0,0,0
HTtexts,HT 140+132+145,.2,*86-SI-*118-KA,,3,,0,0,0,0,0
HTtexts,HT 140+132+145,.3,,,4,,0,1,0,0,0
HTtexts,HT 140+132+145,.4,OLE+U *610,,3,,0,0,0,0,0
HTtexts,HT 140+132+145,.4,KA,,1,,0,0,0,0,0
HTtexts,HT 140+132+145,.4,OLE+U *610,,1,,0,0,0,0,0
HTtexts,HT 140+132+145,.5,KA,,1,,0,1,0,0,0
HTtexts,HT 140+132+145,.5,OLE+U *610,,2,,0,0,0,0,0
HTtexts,HT 140+132+145,.5,KA-PA,,,J,0,1,0,0,0
HTtexts,HT 140+132+145,.6,OLE+U *610,,6,J,0,1,0,0,0
HTtexts,HT 141,.1,,,1,,0,1,0,0,0
HTtexts,HT 145+140,.2,QE,,30,,0,1,0,0,0
HTtexts,HT 145+140,.3,RI-*305,,30,,0,0,0,0,0
