rank	type	freq
586	QA-SI-RE-U	4
587	SA-MA-RA	4
588	ME-TE-TO	4
589	E-RE-U-TE-RO-SE	4
590	KE-RE-SI-JO	4
591	TI-RI-PO	4
592	RA-E-JA	4
593	E-RE-PA-TE-JA-PI	4
594	QE-QI-NO-ME-NA	4
595	I-JE-TO-QE	4
596	DO-RA-QE	4
597	QE-TE-A2	4
598	A-KO-SO-NE	4
599	WE-RE-NA-KO	4
600	DO-RE-JA	4
601	MO-NE-WE	4
602	KA-NA-TO	4
603	DO-DE	4
604	TE-QA-DE	4
605	KE-PO	4
606	MI-TA	4
607	KU-WA-NO-WO-KO-I	4
608	RE-U-KO-JO	4
609	DA-DA-RE-JO-DE	3
610	WO-DE-WI-JO	3
611	PI-RA-ME-NO	3
612	SA-ME	3
613	KO-SO	3
614	PE-RI-QO-TA-O	3
615	SI-JA-MA-TO	3
616	E-U-DA-MO	3
617	A-KE-U	3
618	RE-U-KA-TA	3
619	WE-RO	3
620	DI-KA	3
621	KA-TI	3
622	TE-WA	3
623	KA-NO	3
624	KE-RE-U	3
625	I-JA	3
626	A-PU2-KA	3
627	O-KO-TE	3
628	I-NE-U	3
629	A-PA-TA-WA	3
630	WE-RE-WE	3
631	NA-E-SI-JO	3
632	DA-NA	3
633	PE-QE-U	3
634	TA-PA-NO	3
635	QA-RA-SU-TI-JO	3
636	RU-WO	3
637	PE-RI-TO-WO	3
638	A2-TA	3
639	TI-RI-JO-QA	3
640	E-KO	3
641	KU-RU-ME-NO	3
642	A-KO-TO	3
643	PA-RE	3
644	PA-WA-WO	3
645	E-PI	3
646	E-PO	3
647	DI-WI-JA-WO	3
648	PA-NO	3
649	A-KE-RA-WO	3
650	DU-RU-PO	3
651	KI-RI-TE-WI-JA	3
652	A-RA-SI-JO	3
653	A-PU-DO	3
654	TA-U-NA-SO	3
655	SU-RI-MI-JO	3
656	RI-WI-SO	3
657	NI-TO	3
658	PA-SA-JA	3
659	A-DU	3
660	I-SE-WE-RI-JO	3
661	DA-*83-JO	3
662	TE-JA-RO	3
663	O-NU-KA	3
664	RU-KI	3
665	A-NU-MO	3
666	TA-ZA-RO	3
667	E-KI-SI-JA	3
668	E-RO-PA-KE-JA	3
669	NE-WE-WI-JA	3
670	E-PI-QE	3
671	A-TI-PA-MO	3
672	SI-DA-JO	3
673	TE-JO	3
674	A-TA-NO	3
675	KI-SI	3
676	KE-SE-NU-WI-JA	3
677	KO-RO-TA2	3
678	DA-RO	3
679	PA-TA-U-NA	3
680	KA-RI-SE-U	3
681	TU-KA-NA	3
682	E-QE-SI-JO	3
683	DO-TI-JO	3
684	PO-TI	3
685	KU-KA-RO	3
686	KO-TO	3
687	TU-RI-SI-JO	3
688	O-NA-JO	3
689	TI-RA	3
690	KA-SO	3
691	KO-SA-MA-TO	3
692	PU-SI-JO	3
693	RE-JA	3
694	KE-RO-TA	3
695	E-PO-MI-JO	3
696	PA-RA-WA-JO	3
697	O-KU	3
698	KA-TA-NO	3
699	RA-WO-QO-NO	3
700	KE-DO-SI-JA	3
701	KE-RO	3
702	A-PI-ME-DE	3
703	MA-DI-QO	3
704	A-PE-O-TE	3
705	KO-PE-RE-U	3
706	E-KI-SI-JO	3
707	SI-RA-KO	3
708	SI-MI-TE-U	3
709	RU-RO	3
710	DI-WO	3
711	TE-O-I	3
712	I-DA-I-JO	3
713	A3-KI-NO-O	3
714	KA-KE	3
715	I-QO	3
716	RA-RI-DI-JO	3
717	PU-WO	3
718	A-*56-NO	3
719	PE-RI-TE-U	3
720	KO-TO-I-NA	3
721	SI-RA	3
722	PO-KA	3
723	I-RA-TA	3
724	DU-MA	3
725	A-KO-MO-NI-JO	3
726	ZA-RA-RO	3
727	A-KA-TA-JO	3
728	A-WA-SO	3
729	PO-RO-U-TE-U	3
730	SI-TA-RO	3
731	RA-KO	3
732	DE-U	3
733	DU-NI	3
734	E-U-NA-WO	3
735	A3-TA-RO-WE	3
736	A-KO-RO-DA-MO	3
737	DO-TI	3
738	E-TO	3
739	A-TE-MO	3
740	SE-U	3
741	DO-RO	3
742	TE-PA	3
743	KA-NI-TO	3
744	A3-KO-TA	3
745	O-PI-SI-JO	3
746	TI-QA-JO	3
747	PI-MA-NA-RO	3
748	PO-DA	3
749	DE-SO-MO	3
750	PI-RI-JE-TE	3
751	PA-TA-JA	3
752	O-DA-KE-WE-TA	3
753	WI-RI-ZA	3
754	PTE-NO	3
755	DO-WE-JO	3
756	MI-TO-WE-SA	3
757	KA-KE-JA-PI	3
758	E-RE-PA	3
759	U-PO	3
760	E-RI-KO	3
761	A-KO-RO-TA	3
762	ME-TO-RE	3
763	E-RE-U-TE	3
764	PO-RO-KO	3
765	I-JE	3
766	WA-TA	3
767	WO-TI-JO	3
768	KU-TA	3
769	KA-SA	3
770	PO-SE-DA-O	3
771	WA-TE	3
772	E-U	3
773	E-ZO-WO	3
774	DA-MA	3
775	E-ME	3
776	ME-RI-TO	3
777	TA-O	3
778	PA-I	3
779	E-U-PO-RO-WO	3
780	E-QE	3
781	SA-MA	3
782	KE-TA	3
783	QE-JA-ME-NO	3
784	PE-RE-TA	3
785	QE-RE	3
786	PI-RA-KI	3
787	TU-NI-JO	3
788	KO-MA-WE	3
789	RO-JO	3
790	KO-RO-KI-JA	3
791	PA-KE-TE-JA	3
792	A-*64-JA	3
793	E-U-DE-WE-RO	3
794	O-PI-RO-QO	3
795	RE-WO-TO-RO-KO-WO	3
796	KI-NI-DI-JA	3
797	MI-RA-TI-JA	3
798	A-PI-QO-RO	3
799	I-NA-NI-JA	3
800	ME-TU-RA	3
801	SU-RA-SE	3
802	O-RO-ME-NO	3
803	I-*65	3
