hash,basename,experiment_dir,canonical,n_locations,ext
6ab975fa3ac26dd8,INFORMATION_BUDGET.json,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/INFORMATION_BUDGET.json,2,json
3bcf6707d530769e,STATUS.md,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/STATUS.md,2,md
87107c0afa67951d,WP1_SYMMETRY_BREAKING_ATLAS.md,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/reports/WP1_SYMMETRY_BREAKING_ATLAS.md,2,md
967c611b6fa036d8,WP3_RELATIVE_PHONOLOGY.md,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/reports/WP3_RELATIVE_PHONOLOGY.md,2,md
d06c5acaf1b15cd5,WP1_COUNTEREXAMPLES.md,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/reports/WP1_COUNTEREXAMPLES.md,2,md
6789affb2ba38671,WORDSEG_CANDLANG_SOURCES.md,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/reports/WORDSEG_CANDLANG_SOURCES.md,2,md
63a999e3a975de96,WP1_FORMAL_IDENTIFIABILITY_THEOREM.md,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/reports/WP1_FORMAL_IDENTIFIABILITY_THEOREM.md,2,md
abc544904e0a89fb,WP4_WP5_CROSSSCRIPT_ANCHORS.md,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/reports/WP4_WP5_CROSSSCRIPT_ANCHORS.md,2,md
889d6a19c5349ac5,WP6_POWERCURVE_SYNTH_AGNOSTIC.md,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/reports/WP6_POWERCURVE_SYNTH_AGNOSTIC.md,2,md
6f1ee71d5ad6e1e1,CHECKPOINT_WP6.md,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/CHECKPOINTS/CHECKPOINT_WP6.md,2,md
