source_file,doc_id,site,support,locus,seq,context_word,logogram,integer,fraction_seq,uncertain,restored,damaged,is_kuro,parser,adjudicated_agree
HTtexts,HT 97,Haghia Triada,tablet,a.6,545,A,,5,,0,1,0,0,A,1
HTtexts,HT 66,Haghia Triada,tablet,.2,399,DI,,2,,0,1,0,0,A,1
HTtexts,HT 94,Haghia Triada,tablet,a.4,493,,,2,,0,1,0,0,A,1
HTtexts,HT 94,Haghia Triada,tablet,a.4,496,FIC,,,DD,0,0,0,0,A,1
HTtexts,HT 94,Haghia Triada,tablet,a.4,511,FIC,,,DD,0,0,0,0,A,1
HTtexts,HT 97,Haghia Triada,tablet,a.4-5,540,JU,,15,,0,0,0,0,A,1
HTtexts,HT 111,Haghia Triada,tablet,b.1,639,,,18,,0,1,0,0,A,1
HTtexts,HT 50,Haghia Triada,tablet,a.4,347,OLIV,,3,,0,1,0,0,A,1
HTtexts,HT 25,Haghia Triada,tablet,b.3,179,VIR,,24,,0,0,0,0,A,1
misctexts,KH 33,Khania,tablet,.2,150,,,1,,0,1,0,0,A,1
HTtexts,HT 57,Haghia Triada,tablet,a.1,370,,,1,,0,1,0,0,A,1
HTtexts,HT 121,Haghia Triada,tablet,.3,707,FIC,,2,,0,0,0,0,A,1
HTtexts,HT 119,Haghia Triada,tablet,.3,694,TI,,7,,0,0,0,0,A,1
HTtexts,HT 100,Haghia Triada,tablet,.4,569,FIC,,2,DD,0,0,0,0,A,1
misctexts,ARKH 3,Arkhanes,tablet,a.6,18,KU,,3,,0,1,0,0,A,1
HTtexts,HT 110,Haghia Triada,tablet,a.4,625,FIC,,15,,0,1,0,0,A,1
HTtexts,HT 107,Haghia Triada,tablet,.1,610,,,3,,0,1,0,0,A,1
HTtexts,HT 122,Haghia Triada,tablet,a.7,722,DU,,1,,0,1,0,0,A,1
misctexts,KH 12,Khania,tablet,.2,103,,,,B,0,1,0,0,A,1
HTtexts,HT 122,Haghia Triada,tablet,b.4,730,DI,,2,,0,0,0,0,A,1
misctexts,KH 5,Khania,tablet,.4,45,FIC,,2,JB,0,0,0,0,A,1
HTtexts,HT 24,Haghia Triada,tablet,a.3,164,,,9,J,0,1,0,0,A,1
misctexts,KH 2,Khania,tablet,.1,40,,,20,,0,1,0,0,A,1
HTtexts,HT 121,Haghia Triada,tablet,.2,706,OLE,,4,,0,0,0,0,A,1
HTtexts,HT 136,Haghia Triada,tablet,b.1,816,,,24,,0,1,0,0,A,1
HTtexts,HT 28,Haghia Triada,tablet,b.3,216,FIC,,2,,0,0,0,0,A,1
misctexts,ZA 10,Zakros,tablet,b.6-7,439,TA,,2,,0,0,0,0,A,1
misctexts,KH 9,Khania,tablet,.4,83,,,2,,0,1,0,0,A,1
misctexts,KH 29,Khania,tablet,.2,142,,,1,,0,1,0,0,A,1
misctexts,ARKH 1,Arkhanes,tablet,a.5,1,NE,,2,J,0,1,0,0,A,1
misctexts,TY 3,Tylissos,tablet,a.4,366,OLIV,,4,,0,1,0,0,A,1
misctexts,KH 31,Khania,tablet,.3,146,,,,J,0,1,0,0,A,1
misctexts,KH 31,Khania,tablet,.3,147,,,1,,0,1,0,0,A,1
HTtexts,HT 36,Haghia Triada,tablet,.5,285,,,6,,0,1,0,0,A,1
HTtexts,HT 55,Haghia Triada,tablet,a.3,365,TU,,1,,0,1,0,0,A,1
HTtexts,HT 44,Haghia Triada,tablet,b.5,315,,,10,,0,1,0,0,A,1
HTtexts,HT 94,Haghia Triada,tablet,a.2,489,TA,,4,,0,0,0,0,A,1
HTtexts,HT 96,Haghia Triada,tablet,a.6,531,FIC,,2,,0,1,0,0,A,1
HTtexts,HT 50,Haghia Triada,tablet,a.2,343,,,,E,0,1,0,0,A,1
HTtexts,HT 12,Haghia Triada,tablet,.5,108,FIC,,1,,0,0,0,0,A,1
misctexts,PH 3,Phaistos,tablet,b.4,274,SI,,1,E,0,1,0,0,A,1
HTtexts,HT 100,Haghia Triada,tablet,.2,564,KI,,2,,0,0,0,0,A,1
HTtexts,HT 56,Haghia Triada,tablet,a.2,368,,,11,J,0,1,0,0,A,1
HTtexts,HT 34,Haghia Triada,tablet,.2,269,,,,B,0,1,0,0,A,1
HTtexts,HT 28,Haghia Triada,tablet,b.6,222,,,,E,0,0,0,0,A,1
misctexts,KH 61,Khania,tablet,.4,179,GRA,,1,W,0,0,0,0,A,1
misctexts,KH 13,Khania,tablet,.1,108,,,2,J,0,1,0,0,A,1
